2024/11/14 17:12:24 method=GET path=/metrics status=200 latency=4.42325ms client_ip=::1
2024/11/14 17:21:54 GraphQL server created successfully
2024/11/14 17:21:54 GraphQL playground available at http://localhost:9000/
2024/11/14 17:21:54 method=GET path=/metrics status=200 latency=1.628208ms client_ip=::1
2024/11/14 17:21:57 method=POST path=/query status=200 latency=43.112791ms client_ip=::1
2024/11/14 17:22:09 method=GET path=/metrics status=200 latency=2.061667ms client_ip=::1
2024/11/14 17:22:24 method=GET path=/metrics status=200 latency=2.118958ms client_ip=::1
2024/11/14 17:24:22 GraphQL server created successfully
2024/11/14 17:24:22 GraphQL playground available at http://localhost:9000/
2024/11/14 17:24:24 method=GET path=/metrics status=200 latency=1.98225ms client_ip=::1
2024/11/14 17:24:40 GraphQL server created successfully
2024/11/14 17:24:40 GraphQL playground available at http://localhost:9000/
2024/11/14 17:24:54 method=GET path=/metrics status=200 latency=2.805167ms client_ip=::1
2024/11/14 17:25:03 GraphQL server created successfully
2024/11/14 17:25:03 GraphQL playground available at http://localhost:9000/
2024/11/14 17:25:09 method=GET path=/metrics status=200 latency=2.773208ms client_ip=::1
2024/11/14 17:25:24 method=GET path=/metrics status=200 latency=1.115334ms client_ip=::1
2024/11/14 17:25:39 method=GET path=/metrics status=200 latency=925.625µs client_ip=::1
2024/11/14 17:27:45 GraphQL server created successfully
2024/11/14 17:27:45 GraphQL playground available at http://localhost:9000/
2024/11/14 17:27:46 method=POST path=/query status=200 latency=13.702042ms client_ip=::1
2024/11/14 17:27:54 method=GET path=/metrics status=200 latency=2.294917ms client_ip=::1
2024/11/14 17:28:09 method=GET path=/metrics status=200 latency=2.783083ms client_ip=::1
2024/11/14 17:28:24 method=GET path=/metrics status=200 latency=1.933083ms client_ip=::1
2024/11/14 17:28:39 method=GET path=/metrics status=200 latency=1.862333ms client_ip=::1
2024/11/14 17:28:54 method=GET path=/metrics status=200 latency=1.268834ms client_ip=::1
2024/11/14 17:29:09 method=GET path=/metrics status=200 latency=2.339375ms client_ip=::1
